time,node,timestamp,result,channel,duration
404091,11,306.0,coll,1,2700
404109,10,36.0,succ,1,2700
406818,14,243.0,succ,1,2700
409527,13,801.0,succ,1,2700
412236,10,27.0,coll,1,2700
412236,11,342.0,coll,1,2700
412254,6,99.0,coll,1,2700
412254,13,18.0,coll,1,2700
412272,5,189.0,succ,1,2700
414981,9,135.0,coll,1,2700
414981,13,36.0,coll,1,2700
414999,5,18.0,coll,1,2700
414999,6,126.0,coll,1,2700
414999,7,153.0,coll,1,2700
414999,9,144.0,coll,1,2700
415008,9,144.0,succ,1,2700
417735,6,153.0,succ,1,2700
420453,8,126.0,coll,1,2700
420453,10,108.0,coll,1,2700
420453,11,423.0,coll,1,2700
420453,12,234.0,coll,1,2700
420453,13,90.0,coll,1,2700
420471,14,108.0,succ,1,2700
423180,5,81.0,coll,1,2700
423180,10,126.0,coll,1,2700
423180,13,108.0,coll,1,2700
423207,7,234.0,coll,1,2700
423207,10,144.0,coll,1,2700
423207,14,27.0,coll,1,2700
423225,11,468.0,succ,1,2700
425934,9,99.0,coll,1,2700
425934,12,288.0,coll,1,2700
425934,13,144.0,coll,1,2700
425952,9,108.0,coll,1,2700
425952,10,171.0,coll,1,2700
425970,6,90.0,coll,1,2700
425970,7,270.0,coll,1,2700
425970,14,63.0,coll,1,2700
425988,10,189.0,succ,1,2700
428697,12,324.0,succ,1,2700
431406,8,225.0,succ,1,2700
434133,5,189.0,succ,1,2700
436842,10,54.0,succ,1,2700
439542,10,0.0,succ,1,2700
442260,12,63.0,succ,1,2700
444969,11,117.0,succ,1,2700
447678,6,189.0,coll,1,2700
447678,10,36.0,coll,1,2700
447696,13,270.0,succ,1,2700
450405,11,27.0,succ,1,2700
453105,11,0.0,succ,1,2700
455814,7,396.0,coll,1,2700
455814,9,243.0,coll,1,2700
455814,14,189.0,coll,1,2700
455832,8,108.0,succ,1,2700
458550,6,243.0,coll,1,2700
458550,11,36.0,coll,1,2700
458559,6,243.0,succ,1,2700
461268,5,108.0,succ,1,2700
463977,6,18.0,succ,1,2700
466695,10,126.0,succ,1,2700
469404,8,63.0,coll,1,2700
469404,12,117.0,coll,1,2700
469413,8,63.0,succ,1,2700
472131,7,486.0,coll,1,2700
472131,13,108.0,coll,1,2700
472167,9,360.0,coll,1,2700
472167,14,306.0,coll,1,2700
472185,10,63.0,coll,1,2700
472185,14,315.0,coll,1,2700
472203,13,153.0,succ,1,2700
474912,5,108.0,coll,1,2700
474912,14,333.0,coll,1,2700
474930,12,198.0,succ,1,2700
477639,11,171.0,succ,1,2700
480348,6,126.0,succ,1,2700
483057,6,9.0,coll,1,2700
483057,13,45.0,coll,1,2700
483075,8,117.0,succ,1,2700
485775,8,0.0,succ,1,2700
488484,12,45.0,succ,1,2700
491193,6,36.0,succ,1,2700
493902,9,459.0,coll,1,2700
493902,14,405.0,coll,1,2700
493920,7,621.0,succ,1,2700
496620,7,0.0,succ,1,2700
499329,5,198.0,succ,1,2700
502038,6,36.0,succ,1,2700
504747,11,90.0,succ,1,2700
507456,10,198.0,coll,1,2700
507456,12,63.0,coll,1,2700
507474,5,36.0,coll,1,2700
507474,13,135.0,coll,1,2700
507492,11,27.0,succ,1,2700
510201,14,477.0,succ,1,2700
512928,11,36.0,succ,1,2700
515637,6,81.0,coll,1,2700
515637,8,135.0,coll,1,2700
515637,9,567.0,coll,1,2700
515637,10,261.0,coll,1,2700
515637,12,126.0,coll,1,2700
515637,14,36.0,coll,1,2700
515664,7,117.0,coll,1,2700
515664,10,279.0,coll,1,2700
515700,11,54.0,coll,1,2700
515700,12,171.0,coll,1,2700
515718,5,144.0,coll,1,2700
515718,6,135.0,coll,1,2700
515727,6,135.0,succ,1,2700
518445,12,198.0,succ,1,2700
521154,10,342.0,coll,1,2700
521154,13,270.0,coll,1,2700
521172,11,99.0,coll,1,2700
521172,14,126.0,coll,1,2700
521190,7,198.0,coll,1,2700
521190,11,108.0,coll,1,2700
521208,8,243.0,coll,1,2700
521208,13,297.0,coll,1,2700
521226,12,45.0,coll,1,2700
521226,13,306.0,coll,1,2700
521235,12,45.0,succ,1,2700
523944,6,72.0,coll,1,2700
523944,9,693.0,coll,1,2700
523962,6,81.0,succ,1,2700
526689,5,252.0,coll,1,2700
526689,10,423.0,coll,1,2700
526689,11,171.0,coll,1,2700
526689,13,351.0,coll,1,2700
526707,7,270.0,coll,1,2700
526707,8,306.0,coll,1,2700
526707,11,180.0,coll,1,2700
526716,7,270.0,coll,1,2700
526716,11,180.0,coll,1,2700
526743,7,288.0,coll,1,2700
526743,14,225.0,coll,1,2700
526770,5,297.0,coll,1,2700
526770,8,342.0,coll,1,2700
526797,9,792.0,succ,1,2700
529506,5,324.0,succ,1,2700
532224,11,261.0,coll,1,2700
532224,12,135.0,coll,1,2700
532242,6,126.0,succ,1,2700
534951,9,45.0,coll,1,2700
534951,14,306.0,coll,1,2700
534969,7,378.0,succ,1,2700
537678,5,54.0,succ,1,2700
540387,9,72.0,coll,1,2700
540387,10,558.0,coll,1,2700
540387,13,486.0,coll,1,2700
540405,10,567.0,succ,1,2700
543123,8,459.0,succ,1,2700
545841,5,54.0,coll,1,2700
545841,9,117.0,coll,1,2700
545841,11,351.0,coll,1,2700
545850,11,351.0,succ,1,2700
548577,6,108.0,coll,1,2700
548577,7,90.0,coll,1,2700
548577,8,45.0,coll,1,2700
548577,14,405.0,coll,1,2700
548595,5,90.0,coll,1,2700
548595,12,261.0,coll,1,2700
548622,9,171.0,succ,1,2700
551331,7,126.0,succ,1,2700
554040,6,153.0,coll,1,2700
554040,12,297.0,coll,1,2700
554058,13,612.0,succ,1,2700
556767,5,144.0,coll,1,2700
556767,10,126.0,coll,1,2700
556785,8,117.0,coll,1,2700
556785,10,135.0,coll,1,2700
556812,11,117.0,succ,1,2700
559530,7,72.0,succ,1,2700
562239,14,522.0,succ,1,2700
564939,14,0.0,succ,1,2700
567648,6,234.0,succ,1,2700
570357,12,387.0,succ,1,2700
573066,5,225.0,coll,1,2700
573066,13,90.0,coll,1,2700
573084,9,126.0,coll,1,2700
573084,10,216.0,coll,1,2700
573084,12,18.0,coll,1,2700
573093,9,126.0,succ,1,2700
575802,12,27.0,succ,1,2700
578511,13,117.0,succ,1,2700
581220,11,90.0,coll,1,2700
581220,14,63.0,coll,1,2700
581238,8,234.0,coll,1,2700
581238,11,99.0,coll,1,2700
581247,11,99.0,succ,1,2700
583956,7,90.0,coll,1,2700
583956,13,27.0,coll,1,2700
583974,6,81.0,succ,1,2700
586692,8,270.0,coll,1,2700
586692,11,36.0,coll,1,2700
586719,12,81.0,succ,1,2700
589437,5,342.0,coll,1,2700
589437,7,153.0,coll,1,2700
589437,10,324.0,coll,1,2700
589455,6,63.0,coll,1,2700
589455,9,117.0,coll,1,2700
589455,14,153.0,coll,1,2700
589473,7,171.0,coll,1,2700
589473,8,324.0,coll,1,2700
589473,13,108.0,coll,1,2700
589509,7,198.0,succ,1,2700
592227,5,405.0,succ,1,2700
594936,11,144.0,succ,1,2700
597636,11,0.0,succ,1,2700
600345,9,189.0,coll,1,2700
600345,10,405.0,coll,1,2700
600363,12,108.0,succ,1,2700
603081,14,252.0,succ,1,2700
605799,13,216.0,succ,1,2700
608508,7,90.0,coll,1,2700
608508,8,441.0,coll,1,2700
608508,11,63.0,coll,1,2700
608526,6,198.0,coll,1,2700
608526,13,18.0,coll,1,2700
608535,6,198.0,succ,1,2700
611262,10,495.0,coll,1,2700
